Question ID,Workstream,Question,Why It Matters,Related Risk or Gap ID,Recipient,Priority,Status
Q1,Clinical Evidence,"Please provide the full Phase 2 CSR, protocol, amendments, SAP, tables, listings, datasets, and safety narratives.","Needed to verify clinical efficacy, safety, endpoint handling, and study conduct before setting deal economics.",R1; REQ-001,Seller,High,Open
Q2,Biostatistics,"Please provide the Phase 2 SAP, endpoint hierarchy, multiplicity approach, missing data handling, estimand framework, and sensitivity analyses.","Needed to determine whether the reported Phase 2 signal is statistically robust.",R2; REQ-002,Seller,High,Open
Q3,Biostatistics,"Please provide Phase 3 sample size assumptions, powering rationale, expected effect size, dropout assumptions, and endpoint hierarchy.","Needed to assess Phase 3 feasibility and probability of success.",R2; REQ-002,Seller,High,Open
Q4,"CMC / Quality","Please provide the 2000L scale-up plan, comparability strategy, analytical validation status, batch history, specifications, and long-term stability tables.","Needed to assess Phase 3 supply readiness and timeline risk.",R3; REQ-003,Seller,High,Open
Q5,Regulatory,"Please provide original agency meeting minutes, correspondence, briefing book, written responses, and action-item tracker related to Phase 3 alignment.","Needed to verify the regulatory path and agency expectations.",R4; REQ-004,Seller,High,Open
Q6,IP,"Please provide patent claim charts, ownership chain, FTO analysis, background IP agreement, exclusivity assessment, and royalty stack summary.","Needed to assess exclusivity strength, encumbrance risk, and rights value.",R5; REQ-005,Seller,High,Open
Q7,"Market Access / Pricing","Please provide payer research, HTA analog review, access evidence plan, pricing analog rationale, gross-to-net assumptions, and regional reimbursement assumptions.","Needed to validate premium pricing and forecast assumptions.",R6; REQ-006,Seller,High,Open
Q8,"Legal / Deal","Please provide the draft term sheet, rights matrix, field and territory definitions, sublicensing rights, assignment/change-of-control terms, and existing obligation summary.","Needed to confirm that the proposed regional license matches business assumptions.",R7; REQ-007,Seller,High,Open
Q9,"Financial Valuation","Which assumptions in the current forecast should be revised if Phase 3 start is delayed by 12 months or premium pricing is not achieved?","Needed to define downside scenario and negotiation breakpoints.",R3; R6,Deal team,Medium,Open

